,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/PDD,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,
MON,,"IOT
SE-C
506",SE-B1-CN-112C,,,,,,,,,,,,,,,,
TUE,CP-A1-212A,,CP-B3-212A,,,"IOT
SE-C
506",,,,,,,,,,,,,
WED,,,SE-B3-CN-112C,,,,"IOT
SE-A
504",,,,,,,,,,,,
THR,,,SE-B2-CN-112C,,,"OE-DT
SE-CSBS- (A+B)             625
",,,,,,,,,,,,,
FRI,,,,,"IOT
SE-A
504","OE-DT
SE-CSBS- (A+B)                625
",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,
